product,content
Exterior,................ and next is replacing the slide topper material. Still need to research a bit more before doing that 1. What have you don't lately?
"Adhesives. Sealants, and Cleaners",1. Front windshield rubber seal repaired.
Interior,2. Broken window shades.
"Adhesives, Sealants, and Cleaners",3. Entry door step seal not installed properly.
Electrical,4. electrical box loose from wall.
Hardware,5. bay door misaligned.
Other,A few months ago we got our first MH after having TCs for the last 30+ years. It is a '93 Flair 26' long with 40k miles on it. I wanted a shorter MH to be able to go to most of the places we went with the TC.
Other,After looking at them all I decided on the Monroe RV shock and stabilizer. One thing that helped was a 30% discount plus free shipping. 
Other,All in a good day's work. I keep a Google Task List on my phone with everything I would either like to do or needs to be done. Only 74 items left to be completed 🙄. Good thing I enjoy working on this coach.
Other,Amazing what you can miss even spending 90 minutes going over a coach prior to signing papers and driving away!
Other,And maybe some sumo springs. Hmmmmm
Exterior,Any trouble replacing the topper? Getting ready to do about a 12 foot topper in a week or two I hope
Electrical,"As I am getting ready for our weekend trip I look at my load control panel and it has an odd message. It has the model, software version, and a message ""no communication"" on it. So I find the mfg, Precision Circuits on the web and give them a call. The fellow answers the phone and I tell him my problem. He says it sound like the data cable may have popped off. So I pull the panel by my breaker box and check. The data cable looks like a phone cord and I see it going into the box. It's hard to get to and I try reseating it. No change. Then I pull the monitor panel out in the front of the coach. I unplug the cable and plug it back in. Bingo! Back to working again. I think I might have accidentally unseated the cable at the breaker box a couple of weeks ago when I was pulling a coax cable. Everything worked for the rest of my trip, so I think it's fixed."
Other,"As we all know these beasts are worse than the kids or the DW and need lots of attention. Seems like it's always asking me to bring it home for the weekend to ""give"" it some tlc. So I replaced the flush valve on the thereford Aqua magic IV, replaced the Kwikee step controller, 3 12 volt house batteries, circuit board for the Atwood water heater and next is replacing the slide topper material. Still need to research a bit more before doing that 1. What have you don't lately?"
Plumbing and Water,"At this point I've replaced the radiator, water pump, belts, hoses, AC compressor, converted to R134a refrigerant, and the coach batteries. I'm also working on many small leaks, replacing the refrigerator cooling unit, and plan to replace the brake master cyl. and hydroboost unit, possibly the rear brakes, and at least four tires. The tires have lots of tread but are weather cracked. I will also replace the outer skylight over the shower and install a better shower enclosure. The awning will also need some attention where the sun has damaged it at the top by the roller. Of course all lubricants will be changed, the chassis greased, and the front end has been aligned. I also have a backup camera to install so we can watch the toad. After that I think it will be ready for our upcoming 8k mile summer trip."
Other,"But boy do we love our residential fridge, full size 30"" gas range and stacked washer/dryer!"
Other,"Dicor'd the roof (just days before a torrential rainstorm, I might add)."
Heating and Cooling,Did it without breaking a glass and the power adjustment and heat still worked when done. (-:
Exterior,Disassembled passenger side mirror on the phaeton. Needed due to broken post (head to arm connection). Replaced the entire frame inside. Reassembled.
Other,"Don't spill that drink. No ""abusing "" adult beverages!!!!!!!"
