content,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well..I ""had fixed"" the exhaust manifold
, the exhaust-brake tube, a serious fuel leak and the toad brake pump all in one gulp at the shop. Remaining is the drippy water drain discovered at the shop and the dead dash air.
Isn't that enough?",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's always something with these toys. I had the banks power
pack exhaust and headers installed since the MH had broken bolts in the exhaust manifold
. BTW, the Banks is not cheap but best money I ever spent...it's like driving a New motorhome! Installed Koni shocks
, also money well spent. Tuned it up with new plugs, wires, distributor cap
, coil, pvc. 4 New Michelins on the drive axle. New kitchen faucet, upgraded power converter to progressive dynamics unit, and am trying to see why the bedroom reading lamps don't work. Oh, also removed the fuel tank
and cleaned it out and had a shop re-weld the seams due to a leak. That was a pain, especially since it had about 45 gallons of fuel in it and an anti syphon device so couldn't syphon it out. Later I will need to address a leak in one of the rear hydraulic jacks but this is enough for now. Even with my belly aching....I love this MH and I actually enjoy tinkering with it.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Got temp plates on Friday, passed emissions on Friday as well with flying colors. Full clean and detail is ongoing. Rear, front and one side done with the buffer. Buffer is evil i might add. Next Saturday the girl will have new shoes on the rear. Oil and filter changed. Chassis lubed. All good so far.",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by iamblum
I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything
After looking at them all I decided on the Monroe RV shock and stabilizer. One thing that helped was a 30% discount plus free shipping.
They have to be better then the leaky one that was on it.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Need to replace trombetta solenoid for slides and leveling system! Replaced awning topper on living room slide! Replaced chassis battery's on way home from Florida!
Sent from my iPhone using iRV2 - RV Forum",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My wife found a mat that fits our bathroom floor perfectly. stoked about that!!!!!!!!!!!!!!!!
I know , I know.. not a class A anymore.... dang I hate having nothing to fix...
JUST TEASING, my floor creaks in one spot like crazy though, and my ""single stage"" charger will COOK my batteries if I leave it on too long....",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just reinstalled the drive belt on my Splendide 2100XC Combo WD. So far so good!,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmm. Does it count as doing something if you can't get it done ? DH called Frigidare for service on fridge in 2016 Forest River Berkshire. Frigidare cannot dispatch service because the item is not where you registered it from!! They did offer to sell us an extended warranty!? Our first trip since purchase last Sept & waiting for the real fun to begin . Lol,Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This week--installed Autoformer, replaced the coalescing filter on top of engine, ran wires from batt to wetbay for portable macerator.
DICK",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Did you use AC DELCO
plugs? Looking for 10 mm wire.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced the rear shocks
today. Did the front shocks and stabilizer damper last week. Was going to just do the fronts but decided to replace the rears also. Happy that I did as they were shot. The new shocks (Monroe RV ) Look more stout then the originals.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rebuilt macerator, installed new water pump, greased coach and completed aqua hot servicing. Still need to reseal couple of spots to eliminate intermittent leaks. Then hitting the road for a month and a half.",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I replaced the oil cooler
gaskets and seals on my CAT 3126. If you're looking to do something that requires folding your arms and body in ways that aren't humanly possible, I suggest trying it.
On a good note, it no longer hemorrhages oil. 5 gallons of oil from South Carolina to Chicago was my last adventure.
Good times",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One of my wife's tactics for getting me to buy her a new mh included ""You won't have to do as much maintenance with a new one"".
Now the daughter and her husband own our old Bounder and they want to take it on their first vacation trip in a few weeks. The husband is eager to help and learn about their new toy but he is very busy with work at present.
So the guy with less maintenance to tackle is currently handling a complete brake job, which included separating the front hubs from the rotors for new replacement rotors. This will be immediately followed with the task of removing the radiator for a recore. After that is complete I will attend to the replacement of a leaking rear seal on the transmission and will wrap it up with a bevy of small repair items.
Then I will return the Flounder so the daughter can build her nest inside before vacation.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Steady_Rest
One of my wife's tactics for getting me to buy her a new mh included ""You won't have to do as much maintenance with a new one"".
Now the daughter and her husband own our old Bounder and they want to take it on their first vacation trip in a few weeks. The husband is eager to help and learn about their new toy but he is very busy with work at present.
So the guy with less maintenance to tackle is currently handling a complete brake job, which included separating the front hubs from the rotors for new replacement rotors. This will be immediately followed with the task of removing the radiator for a recore. After that is complete I will attend to the replacement of a leaking rear seal on the transmission and will wrap it up with a bevy of small repair items.
Then I will return the Flounder so the daughter can build her nest inside before vacation.
A good RV tech should get at least 40 - 45 an hour. Perhaps a family discount of 10% is in order. LOL.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tracking down a leak today and found a broken rear shock attachment
Sooo..... I'll be ordering a pair of Bilsteins at $100 each
Like I always say.... If it ain't one thing... its something more expensive
And... I never found the leak",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just finished making some repairs to the condenser fins on my main A/C unit
Here are the before and after pictures
Checked the discharge pressure before & after repair.
70 psig difference.
This equals no more trips on High Head Pressure
Lower Head pressure = Lower Operating Cost
And much easier on the system.
But it took me 2 hours to repair the aluminum fins, hence the before picture it was daylight and the after picture was night time.....hahaha!",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changed engine & genset oil and filters. Flushed both cooling systems and put in Final Charge Global OAT coolant in both. Won't need to do anything other than coolant filter change for 7 years!
Getting ready for first trip this year!
Horay! I am ready!!",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced my inverter with a Magnum MS2812, bolt pattern didn't match the Prosine, but all is well and I can now charge the batteries that will need replacement next.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stopped by the shop today and started the old girl up, also exercised the genny. Close as I have come to actually spending time working on it lately😢",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced the front crankshaft seal
on my Onan generator and repairing my Aquahot. Need to recharge the a/c and wash the coach.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quote:
Originally Posted by Dave-Oh
when my furnace did that, it turned out that the propane regulator
was bad. If your stove won't support more than one burner and the flame has a lot of orange/yellow, it may be the regulator.
The three burners all have blue flame. So back to checking the furnace. I have not had time to check it out yet, but eventually I will have to tackle that problem. Right now I have been using the heat pumps. Thanks for the tip though.",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well,
For starters, I change oil on the big beast, 19 qts and a filter, no issues. But, the really big deal is, I changed the QD 7500 fuel filter
WITHOUT GETTING FUEL ALL OVER THE PLACE as has been reported by many on here and other RV forums. It did drip a few drops but, I was ready for that. So, to me, this was a great victory. Now, on to other maintenance for our upcoming trip.
Scott",Chassis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Today I removed my Carefree slide out cover, and reversed it so the small tear was wrapped around the roller where it wouldn't show, instead of attached to the side of the mh where it flapped in the breeze.",Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well....I always seem to be doing something minor just to spend time with the RV. My latest fix was modifying the circuit board tray for my Precision Temp tankless hot water heater. Seems if we had a hard blowing rain, water would get in the tray that both circuit boards sit in. Once wet, the system would not function. Don't like doing without hot water !! So I drilled a couple of holes in the bottom of the tray to drain away any water, raised the circuit board about 3/8 of an inch by putting plastic spacers between the bottom of the tray and the circuit board and siliconed the rivets to ensure water was not getting in through them. I'm hoping this fixed my problem!!
Thanks !!
Hhg",Plumbing and Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The last couple days I spent replacing the older flat panel TV with a new LED flat panel. I replaced it for a couple of reasons, one was size, 32"" ver. 40"" but that wasn't the main reason main reason was weight 35lbs. ver. 14lbs. but I do have to admit size does matter.",Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just got ours out of the shop. The Xantrax controller and power distribution circuit board were improperly wired at the factory. Had that fixed but had to replace all four house batteries. Added an ice maker to make life a little nicer. Had the propane orifice on the fridge cleans so fridge would run on propane when needed.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Replaced 2 air brake valves, one Rx12 (I think) and obesity above it and am now seeking a 3rd. Presently tracing an electrical labyrinth that David Bowie would be mesmerized with to figure why nothing is holding a charge anymore. Gotta be a bad diode somewhere...!",Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My domestic fridge. Was giving me a code with no flame. Opened up the access and blew it out with my mouth to see if that was it. Heard it ""woof"" a few times, so I blew harder and it fired up",Heating and Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I did a full brake job on my 1999 F53. All calipers and brackets. All 5 rubber hoses. Not a fun job for a 75 year old. also replaced all four valve stems on the rear tires to get rid of the troulesome extenders. I love the long stems. No longer have to use a truck gauge or chuck to service tires. Any auto air chuck or gauge will work on the tires now.,Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
