content,product
"Well..I ""had fixed"" the exhaust manifold
, the exhaust-brake tube, a serious fuel leak and the toad brake pump all in one gulp at the shop. Remaining is the drippy water drain discovered at the shop and the dead dash air.
Isn't that enough?",Chassis
"It's always something with these toys. I had the banks power
pack exhaust and headers installed since the MH had broken bolts in the exhaust manifold
. BTW, the Banks is not cheap but best money I ever spent...it's like driving a New motorhome! Installed Koni shocks
, also money well spent. Tuned it up with new plugs, wires, distributor cap
, coil, pvc. 4 New Michelins on the drive axle. New kitchen faucet, upgraded power converter to progressive dynamics unit, and am trying to see why the bedroom reading lamps don't work. Oh, also removed the fuel tank
and cleaned it out and had a shop re-weld the seams due to a leak. That was a pain, especially since it had about 45 gallons of fuel in it and an anti syphon device so couldn't syphon it out. Later I will need to address a leak in one of the rear hydraulic jacks but this is enough for now. Even with my belly aching....I love this MH and I actually enjoy tinkering with it.",Chassis
"Got temp plates on Friday, passed emissions on Friday as well with flying colors. Full clean and detail is ongoing. Rear, front and one side done with the buffer. Buffer is evil i might add. Next Saturday the girl will have new shoes on the rear. Oil and filter changed. Chassis lubed. All good so far.",Chassis
I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything,Chassis
"Quote:
Originally Posted by iamblum
I've started looking into replacing shocks and airbags. Also looking into steering stabilizers and track bars. Undecided at this point but research is everything
After looking at them all I decided on the Monroe RV shock and stabilizer. One thing that helped was a 30% discount plus free shipping.
They have to be better then the leaky one that was on it.",Chassis
"Need to replace trombetta solenoid for slides and leveling system! Replaced awning topper on living room slide! Replaced chassis battery's on way home from Florida!
Sent from my iPhone using iRV2 - RV Forum",Chassis
"My wife found a mat that fits our bathroom floor perfectly. stoked about that!!!!!!!!!!!!!!!!
I know , I know.. not a class A anymore.... dang I hate having nothing to fix...
JUST TEASING, my floor creaks in one spot like crazy though, and my ""single stage"" charger will COOK my batteries if I leave it on too long....",Electrical
Just reinstalled the drive belt on my Splendide 2100XC Combo WD. So far so good!,Chassis
Hmm. Does it count as doing something if you can't get it done ? DH called Frigidare for service on fridge in 2016 Forest River Berkshire. Frigidare cannot dispatch service because the item is not where you registered it from!! They did offer to sell us an extended warranty!? Our first trip since purchase last Sept & waiting for the real fun to begin . Lol,Heating & Cooling
"This week--installed Autoformer, replaced the coalescing filter on top of engine, ran wires from batt to wetbay for portable macerator.
DICK",Plumbing
"Did you use AC DELCO
plugs? Looking for 10 mm wire.",Electrical
"Replaced the rear shocks
today. Did the front shocks and stabilizer damper last week. Was going to just do the fronts but decided to replace the rears also. Happy that I did as they were shot. The new shocks (Monroe RV ) Look more stout then the originals.",Chassis
"Rebuilt macerator, installed new water pump, greased coach and completed aqua hot servicing. Still need to reseal couple of spots to eliminate intermittent leaks. Then hitting the road for a month and a half.",Plumbing
"I replaced the oil cooler
gaskets and seals on my CAT 3126. If you're looking to do something that requires folding your arms and body in ways that aren't humanly possible, I suggest trying it.
On a good note, it no longer hemorrhages oil. 5 gallons of oil from South Carolina to Chicago was my last adventure.
Good times",Chassis
"One of my wife's tactics for getting me to buy her a new mh included ""You won't have to do as much maintenance with a new one"".
Now the daughter and her husband own our old Bounder and they want to take it on their first vacation trip in a few weeks. The husband is eager to help and learn about their new toy but he is very busy with work at present.
So the guy with less maintenance to tackle is currently handling a complete brake job, which included separating the front hubs from the rotors for new replacement rotors. This will be immediately followed with the task of removing the radiator for a recore. After that is complete I will attend to the replacement of a leaking rear seal on the transmission and will wrap it up with a bevy of small repair items.
Then I will return the Flounder so the daughter can build her nest inside before vacation.",Chassis
"Quote:
Originally Posted by Steady_Rest
One of my wife's tactics for getting me to buy her a new mh included ""You won't have to do as much maintenance with a new one"".
Now the daughter and her husband own our old Bounder and they want to take it on their first vacation trip in a few weeks. The husband is eager to help and learn about their new toy but he is very busy with work at present.
So the guy with less maintenance to tackle is currently handling a complete brake job, which included separating the front hubs from the rotors for new replacement rotors. This will be immediately followed with the task of removing the radiator for a recore. After that is complete I will attend to the replacement of a leaking rear seal on the transmission and will wrap it up with a bevy of small repair items.
Then I will return the Flounder so the daughter can build her nest inside before vacation.
A good RV tech should get at least 40 - 45 an hour. Perhaps a family discount of 10% is in order. LOL.",Chassis
"Tracking down a leak today and found a broken rear shock attachment
Sooo..... I'll be ordering a pair of Bilsteins at $100 each
Like I always say.... If it ain't one thing... its something more expensive
And... I never found the leak",Chassis
"Just finished making some repairs to the condenser fins on my main A/C unit
Here are the before and after pictures
Checked the discharge pressure before & after repair.
70 psig difference.
This equals no more trips on High Head Pressure
Lower Head pressure = Lower Operating Cost
And much easier on the system.
But it took me 2 hours to repair the aluminum fins, hence the before picture it was daylight and the after picture was night time.....hahaha!",Heating & Cooling
"Changed engine & genset oil and filters. Flushed both cooling systems and put in Final Charge Global OAT coolant in both. Won't need to do anything other than coolant filter change for 7 years!
Getting ready for first trip this year!
Horay! I am ready!!",Chassis
"Replaced my inverter with a Magnum MS2812, bolt pattern didn't match the Prosine, but all is well and I can now charge the batteries that will need replacement next.",Electrical
"Stopped by the shop today and started the old girl up, also exercised the genny. Close as I have come to actually spending time working on it latelyðŸ˜¢",Electrical
"Replaced the front crankshaft seal
on my Onan generator and repairing my Aquahot. Need to recharge the a/c and wash the coach.",Electrical
"Quote:
Originally Posted by Dave-Oh
when my furnace did that, it turned out that the propane regulator
was bad. If your stove won't support more than one burner and the flame has a lot of orange/yellow, it may be the regulator.
The three burners all have blue flame. So back to checking the furnace. I have not had time to check it out yet, but eventually I will have to tackle that problem. Right now I have been using the heat pumps. Thanks for the tip though.",Chassis
"Well,
For starters, I change oil on the big beast, 19 qts and a filter, no issues. But, the really big deal is, I changed the QD 7500 fuel filter
WITHOUT GETTING FUEL ALL OVER THE PLACE as has been reported by many on here and other RV forums. It did drip a few drops but, I was ready for that. So, to me, this was a great victory. Now, on to other maintenance for our upcoming trip.
Scott",Chassis
"Today I removed my Carefree slide out cover, and reversed it so the small tear was wrapped around the roller where it wouldn't show, instead of attached to the side of the mh where it flapped in the breeze.",Exterior
"Well....I always seem to be doing something minor just to spend time with the RV. My latest fix was modifying the circuit board tray for my Precision Temp tankless hot water heater. Seems if we had a hard blowing rain, water would get in the tray that both circuit boards sit in. Once wet, the system would not function. Don't like doing without hot water !! So I drilled a couple of holes in the bottom of the tray to drain away any water, raised the circuit board about 3/8 of an inch by putting plastic spacers between the bottom of the tray and the circuit board and siliconed the rivets to ensure water was not getting in through them. I'm hoping this fixed my problem!!
Thanks !!
Hhg",Plumbing and Water
"The last couple days I spent replacing the older flat panel TV with a new LED flat panel. I replaced it for a couple of reasons, one was size, 32"" ver. 40"" but that wasn't the main reason main reason was weight 35lbs. ver. 14lbs. but I do have to admit size does matter.",Electrical
Just got ours out of the shop. The Xantrax controller and power distribution circuit board were improperly wired at the factory. Had that fixed but had to replace all four house batteries. Added an ice maker to make life a little nicer. Had the propane orifice on the fridge cleans so fridge would run on propane when needed.,Electrical
"Replaced 2 air brake valves, one Rx12 (I think) and obesity above it and am now seeking a 3rd. Presently tracing an electrical labyrinth that David Bowie would be mesmerized with to figure why nothing is holding a charge anymore. Gotta be a bad diode somewhere...!",Chassis
"My domestic fridge. Was giving me a code with no flame. Opened up the access and blew it out with my mouth to see if that was it. Heard it ""woof"" a few times, so I blew harder and it fired up",Electrical
I did a full brake job on my 1999 F53. All calipers and brackets. All 5 rubber hoses. Not a fun job for a 75 year old. also replaced all four valve stems on the rear tires to get rid of the troulesome extenders. I love the long stems. No longer have to use a truck gauge or chuck to service tires. Any auto air chuck or gauge will work on the tires now.,Chassis
"Quote:
Originally Posted by iamblum
My domestic fridge. Was giving me a code with no flame. Opened up the access and blew it out with my mouth to see if that was it. Heard it ""woof"" a few times, so I blew harder and it fired up
You might want to go on the Dometic website and enter your Model/Serial number to see if there are any recalls. Mine had one that the Newmar dealer performed at No Charge.",Electrical
The convection feature on our convection/microwave decided to stop working so a new one is on it's way. Should be here Tuesday.,Electrical
Replaced engine to frame groundstrap. Had erratic starting problems. Found strap corroded and connection points faulty.,Chassis
"I replaced the Chassis or Engine batteries earlier this year. Just finished replacing the old 24 inch tube Sony TV with a 32 inch LED flatscreen. After removing the wood trim that was around the old TV the new TV just fit in the cabinet. I had to make and install new trim around it. Old TV was 81 lbs and new one is 11 lbs. Now having to add some new tools to offset the weight loss so the front tires
stay on the ground (hehe!!)",Chassis
"Quote:
Originally Posted by dutchstr3884
I replaced the Chassis or Engine batteries earlier this year. Just finished replacing the old 24 inch tube Sony TV with a 32 inch LED flatscreen. After removing the wood trim that was around the old TV the new TV just fit in the cabinet. I had to make and install new trim around it. Old TV was 81 lbs and new one is 11 lbs. Now having to add some new tools to offset the weight loss so the front tires
stay on the ground (hehe!!)
I sure would like to see pictures of how the new 32"" fit in the box and how it looks after it is all finished. I would like to replace mine one of these days, but have not found a TV that is square, most are rectangular.",Chassis
"Quote:
Originally Posted by RayChez1
I sure would like to see pictures of how the new 32"" fit in the box and how it looks after it is all finished. I would like to replace mine one of these days, but have not found a TV that is square, most are rectangular.
My TV replacement is in progress. The pictures are how I am mounting the TV to fit in a larger sized opening. It will be hinged at the top and have locks at the bottom. This will allow me access to the wiring and also I am installing shelves so the space can be used for storage.
The frame shown is for mock up purposes only. I am in the process of building the real one out of Cherry wood which will be stained to matching the existing cabinet.",Electrical
"Quote:
Originally Posted by Rsponsford
What product should be used to coat the fiberglass roof? Mine needs to be done.
Rsponsford,
Just wondering, why do you think you need to coat a fiberglass roof? Most of us with fiberglass roofs just wash them and, put an occasional coat of wax on them. Just wondering.
Scott","Adhesives, Sealants, & Cleaners"
"Removed and cleaned the MAF sensor
, and cleared the code to turn off the check engine light. Plan on taking it out for a drive over the weekend to see if that solved the problem. If not then I guess it's time for a new MAF. It didn't LOOK dirty, but I don't know how much (or how little) crud it takes to cause it to throw a code.",Electrical
Thanks to Roger and everyone in the Workhorse Chassis forum I was able to replace the Rotten Green Switch and Light Switch on my Autopark Brake on my 2000 Winnebago Adventurer 32V.,Chassis
"While getting ready for our first trip with our new to us MH she was loaded up and ready to go in the morning. Ahh a month in the Florida Keys.
So I thought i'd spray some silicone on the slide rails before i brought them back in. I notice something strange just inside the right front slide. My flashlight and a magnetic thingy rod and out comes a washer, lock washer and 3/8 nut. Oh no whats broke now before our maiden voyage. Upon further investigation i see where at the end of the slide rail where it attaches to the slide one bolt is missing it's nut, washer and lock washer and one is missing bolt and everything and the rest are extremely loose.
I checked all the rest and got at least 3 to 4 complete turns on the nuts for the remaining. Boy does that slide run smooth now.
Later on i'll remove the nuts and put some blue lock tight on em.
DW returned as i was wrenching em and thought oh no what now.
All is good for now",Hardware
"A backing nut came off my air conditioner control on my dash panel
, found it with a mirror and put back on. Somehow feel this was the easy fix.",Heating & Cooling
"Onan 7000 generator was hard to start, vacuum choke would stay on , if choke was opened up by hand, engine seem to run not too bad. After a minute noticed one cylinder was cold. Spark plug
was OK, Spark Ok. Removed rocker cover for that cylinder and found a broken rocker for intake valve. When I replaced the rocker I found the rocker stud was loose and had rotated out several turns out of the cylinder head
. Checked the 3 other rockers , they where all loose as where all the other rocker studs. Tightened studs, adjusted valve clearances and generator has been good since then.",Chassis
"On maiden voyage realized alt wasn't charging so I had to jump the house and engine batteries to make it home. When it got home I put in the shop and got dash ac charged, steering box adjusted and all fluids/filters changed incl one in air system. Took it on 2400 round trip and dash air went warm and frig was at 70F so back in the shop so hopefully can take it to Oshkosh at the end of the month.",Chassis
"New air brake chambers on the back wheels and new diaphragms on the front wheels also pulled the drivers side window to repair a water leak then did a chassis lube, last week was a busy one.",Chassis
"Our door power awning
stopped working. I determined the awning shaft that attaches to the motor stripped so I disassembled it and put in a set screw to lock them together. Works like new now.",Exterior
"Our 1989 Rexhall Airex has been a good learning machine. Lots of big and little repairs.
It ran well when we bought it but last year it started backfiring when you took your foot off the gas, and using twice as much gas. Ran awful so we parked it. Local mechanics took my money for tuneups but no improvement. Its a Ford 460
fuel injected engine so I went on the Ford 460
forum for a few months. Finally got an old guy who knew the engine. He said to replace the fuel pressure regulator
and idle control valve
. Presto! A wonderful sweet running engine.
It has a Ford chassis and we had the famous ignition key linkage break in the steering column
. This is identified when you go to start the engine, feel a snap when you turn the key, and the key now rotates completely around with no resistence. This requires pulling the steering wheel and tearing the column apart. Lots of tricks. This is common with Fords of this era so fotunately there are lots of excellent you tube videos.
The water heater leaked when we pressurized it this spring. I pulled it out but it was a rusty wreck, not repairable. Went through a long song and dance to find the right replacement but thanks to one knowledgeable RV tech we got one that works.
Continuing to replace all the lights with LED's as I find them on sale.
DonM",Chassis
"Replaced rear Air Springs and shocks.....Fronts are next.....
Wasn't too bad hour and a half it was completed...",Chassis
"Replaced the pawls on our 2008 tow dolly
ratchets.",Hardware
