product,title,content,sentiment
Exterior,Electric awning arm pulled out,"During a return from AZ got caught in a blizzard, while washing the MH today I noticed the arm that attaches to the coach had pulled away from the fiberglass leaving three 1/4 inch holes in the fiberglass any ideas how to reattach the arm, what could I use to fill the holes strong enough to reattach the screws and expanding rivets that where factory installed ",Negative
Electrical,Battery issues on my D Pusher,"Any other reason other than a run down chassis batterys (2) would make the coach turn over very slowly while attempting to start? Cant get it to start?

Charging all night…. Hoping for a better result in the morning ",Negative
Chassis,Hydraulic Jacks,"Hi all. My Tiffin gas unit is up on its levellers and they won’t retract. Plenty of fluid, the parking brake is on, no blown fuses or breaker that I can find, the lights on the dash controller are on, as is the very annoying alarm that sounds continually when jacks are down and the ignition is on. Pressing any of the four up or down arrows though, results in nothing.
Would anyone have any thoughts? ",Negative
Electrical,"Major screw up on my slide out, please help!","I finished replacing carpet with vinyl plank floor and need to add more seat belt to the passenger side sofa, while wait for the seat belt, I forgot to tighten one bolt (from slide bottom to the floor to secure the sofa) , when I finally ready to do the seat belt, I extended the slide, but that bolt dropped half way and broke and twisted a piece a aluminum and seal, it also pulled a piece of plywood out (please see attached)

I guess the first thing I have to do is jack up the slide(no sure how much to jack it up) and take the aluminum piece out and put the plywood back. that carpet is the area I can't reach, I will just yank it out.

I will probably remove the floor in order to put the plywood back.

No sure if aluminum piece is salvageable ,as it broke on the right side I will have to replace that aluminum, it will probably has to be custom made??

I don't believe the aluminum is structure as it is not very thick.

The challenge is how to remove it as it is right under the slide now( i believe it is not attached to the slide, it maybe attached to the wall) and put it new one back ( assuming I can order a new one) .

Only a portion of the aluminum is twisted (3'-4'), so I maybe able to only cut the and replace the twisted piece.

No sure how the piece is secured to the frame.

Need to jack up the slide tomorrow at least one inch to figure all this out.


Any suggestion will be greatly appreciated!",Negative
Wiper Parts,2001 Winnebago Journey 32T windshield wiper,"I'm having a problem with my wipers not returning to home position when I turn them off or use ""intermittent"". It seems there are 3 different places it likes to stop, one is straight up, another is 2 o'clock, and the last is ""home"" position.
I have removed the motor and connected 12v to it. It works just fine, so I'm thinking there must be a control module somewhere. It's not under the front compartment with the wiper motor. I can trace the wiring to where it goes through the firewall. I have removed the cover over the dash gauges and it's not in there. I then got down on the floor and looked up under the steering wheel area. What a big mess of wiring there is. It's all strapped together, so before I attempt to cut straps and try to move it all out of the way, I thought I might be enlightened by someone who may have had some experience with it.
I can put up with it by turning the wipers off by waiting for that certain position, but I just like things to work the way they're supposed to.
Sure would appreciate any suggestions. If I just get a couple ""live with it"" comments, then I will do just that. Thanks, Gene in Idaho. ",Negative
Heating and Cooling,Heat pump blowing cold air,We have an 04 holiday rambler with two ac units with heat pumps. A month ago they both worked when heat pumps were on(outside temps in high 40’s. Last week the unit in the back of coach started blowing cool air rather than hot air. Any suggestions on what that could be?,Positive
Plumbing and Water,Winnebago Shurflow water pump replacement,"I have a 2014 Winnebago Journey 36M. It appears the water pump has failed. It is model 4008-101-F65. It has power, is warm to the touch and produces no pressure with city water shut off and a tap open. My question is: Does anyone see a way to get this pump out without cutting all the compression clamp hoses? I was thinking about the 8 screws on the face might allow me to disconnect the pump but leave all the lines. It seems that to unscrew the white couplings I would need 1/2 play on each side to get it out. Any help is greatly appreciated. ",Negative
Hardware,Cabinet Drawer Rail,"We have soft close cabinet drawer rails. One of them started dropping ball bearings. See attached pics. Have new rails ready to install when we are done with this trip.

But now a second drawer's rail dropped a ball bearing.

Any one else having similar issue? ",Negative
"Adhesives, Sealants, and Cleaners",step adhesive,replacing inside rubber tread step w/ nosing. rubber to metal.anyone know the type of adhesive to use. no help from local rv repair facilities. no one knows for sure. Thanks,Negative
Winterizing,Class A winterizing question,"HI,

A buddy passed away a couple of months ago. I am helping his wife put their RV down for the winter. I am on my 4th travel trailer so I am familiar with winterizing.

They have a 2000 Four Winds Hurricane 34K. To start I cannot find the low water drains under the camper. I am also a bit confused on how to properly winterize this thing. I have posted a couple of pics of the hatch next to the water fill ports on the outside and a pic inside the hatch of what appears to be the water pump and I am not sure what the vertical white hose with the cap is.

Any help is greatly appreciated.
Thanks",Negative
